Collector,IP Address,Device Ip Numeric,Network View,Device Name,Type,Vendor,Model,Device Assurance,Site (Devices),Supervisor (Devices),IsInactive (Devices),IsForTesting (Devices)
phx-netmri-1,10.151.0.140,177668236,Salesforce_IT,syd4-axs-40,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.141,177668237,Salesforce_IT,syd4-axs-41,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.142,177668238,Salesforce_IT,syd4-axs-42,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.143,177668239,Salesforce_IT,syd4-axs-43,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.144,177668240,Salesforce_IT,syd4-axs-44,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.148,177668244,Salesforce_IT,syd4-axs-48,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.149,177668245,Salesforce_IT,syd4-axs-49,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.150,177668246,Salesforce_IT,syd4-axs-50,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.151,177668247,Salesforce_IT,syd4-axs-51,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.151.0.152,177668248,Salesforce_IT,syd4-axs-52,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.88.128.255,173572351,Salesforce_IT,aus1-ts,Router,Cisco,ISR4321,99,,,,
phx-netmri-1,10.21.178.1,169193985,Salesforce_IT,ARN1-SXS-A,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.151.190.11,177716747,Salesforce_IT,syd4-sic-wlc-a,Router,Cisco,C9800LFK9,99,,,,
phx-netmri-1,10.206.0.12,181272588,Salesforce_IT,hyd2-axs-17a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.206.0.13,181272589,Salesforce_IT,hyd2-axs-18a,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.40,177209384,Salesforce_IT,DUB6-AXS-3,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.144.0.41,177209385,Salesforce_IT,DUB6-AXS-LG,Switch-Router,Cisco,Cat9410R,99,,,,
phx-netmri-1,10.21.174.1,169192961,Salesforce_IT,ARN3-DST-A,Switch-Router,Cisco,C9500-40X,99,,,,
phx-netmri-1,10.21.174.2,169192962,Salesforce_IT,ARN3-AXS-A,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.174.3,169192963,Salesforce_IT,ARN3-AXS-B,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.174.4,169192964,Salesforce_IT,ARN3-AXS-C,Switch-Router,Cisco,C9300-48UXM,99,,,,
phx-netmri-1,10.21.174.5,169192965,Salesforce_IT,ARN3-AXS-D,Switch-Router,Cisco,C9300-48UXM,99,,,,
